filepath,vendor,session,interaction,participant,export_success,used_filepath,sex
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0039/V00_S0825_I00000313_P0500.mp4,V00,S0825,I00000313,P0500,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0039/V00_S0825_I00000313_P0500.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0041/V02_S5100_I00000304_P5124.mp4,V02,S5100,I00000304,P5124,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0032/V02_S5100_I00000751_P5124.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0010/V00_S0675_I00000503_P0831.mp4,V00,S0675,I00000503,P0831,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0037/V00_S0675_I00000377_P0831.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0073/V03_S1493_I00000482_P2296.mp4,V03,S1493,I00000482,P2296,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0045/V03_S1493_I00000560_P2296.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0005/V00_S0922_I00000482_P0500.mp4,V00,S0922,I00000482,P0500,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0005/V00_S0922_I00000482_P0500.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0034/V02_S5100_I00000304_P5125.mp4,V02,S5100,I00000304,P5125,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0004/V02_S5100_I00000302_P5125.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0105/V03_S0870_I00000068_P2963.mp4,V03,S0870,I00000068,P2963,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0065/V03_S0870_I00000060_P2963.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0032/V01_S0039_I00000125_P1075.mp4,V01,S0039,I00000125,P1075,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0047/V01_S0039_I00000139_P1075.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0001/V00_S0155_I00000139_P0222.mp4,V00,S0155,I00000139,P0222,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0005/V00_S0155_I00000128_P0222.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0091/V03_S0240_I00000132_P1572.mp4,V03,S0240,I00000132,P1572,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0098/V03_S0240_I00000497_P1572.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0011/V00_S0586_I00000139_P0740.mp4,V00,S0586,I00000139,P0740,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0035/V00_S0586_I00000462_P0740.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0042/V00_S0255_I00000497_P0350.mp4,V00,S0255,I00000497,P0350,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0031/V00_S0255_I00000132_P0350.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0002/V02_S5114_I00000730_P5145.mp4,V02,S5114,I00000730,P5145,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0042/V02_S5114_I00000195_P5145.mp4,
